term locale,term category,term,alias,priority,case sensitive
EN,Solvency 2,alternative valuation methods,,900,False
EN,Solvency 2,scenario analysis,,900,False
EN,Solvency 2,health insurance obligation,,900,False
EN,Solvency 2,medical expense insurance obligation,,900,False
EN,Solvency 2,income protection insurance obligation,,900,False
EN,Solvency 2,workers compensation insurance obligation,,900,False
EN,Solvency 2,health reinsurance obligation,,900,False
EN,Solvency 2,medical expense reinsurance obligation,,900,False
EN,Solvency 2,income protection reinsurance obligation,,900,False
EN,Solvency 2,workers' compensation reinsurance obligation,,900,False
EN,Solvency 2,written premiums,,900,False
EN,Solvency 2,earned premiums,,900,False
EN,Solvency 2,surrender,,900,False
EN,Solvency 2,discontinuance,,900,False
EN,Solvency 2,discontinuity options,,900,False
EN,Solvency 2,continuity options,,900,False
EN,Solvency 2,coverage of an internal model,,900,False
EN,Solvency 2,scope of an internal model,,900,False
EN,Solvency 2,investment in a tradable security or another financial instrument based on repackaged loans,,900,False
EN,Solvency 2,resecuritisation position,,900,False
EN,Solvency 2,originator,,900,False
EN,Solvency 2,sponsor,,900,False
EN,Solvency 2,tranche,,900,False
EN,Solvency 2,central bank,,900,False
EN,Solvency 2,basis risk,,900,False
EN,Solvency 2,material basis risk,,900,False
EN,Solvency 2,collateral arrangements,,900,False
EN,Solvency 2,pooling arrangement,,900,False
EN,Solvency 2,pool exposure of type A,,900,False
EN,Solvency 2,pool exposure of type B,,900,False
EN,Solvency 2,pool exposure of type C,,900,False
EN,Solvency 2,deep market,,900,False
EN,Solvency 2,liquid market,,900,False
EN,Solvency 2,transparent market,,900,False
EN,Solvency 2,future discretionary bonuses,,900,False
EN,Solvency 2,future discretionary benefits,,900,False
EN,Solvency 2,basic risk-free interest rate term structure,,900,False
EN,Solvency 2,matching adjustment portfolio,,900,False
EN,Solvency 2,SLT Health obligations,,900,False
EN,Solvency 2,NSLT Health obligations,,900,False
EN,Solvency 2,major business unit,,900,False
EN,Solvency 2,Collective investment undertaking,,900,False
EN,Solvency 2,administrative management or supervisory body,,900,False
EN,Solvency 2,aggregate maximum risk exposure,,900,False
EN,Solvency 2,existing insurance or reinsurance contract,,900,False
EN,Solvency 2,the expected profit included in future premiums,,900,False
EN,Solvency 2,mortgage insurance,,900,False
EN,Solvency 2,subsidiary undertaking,,900,False
EN,Solvency 2,Solvency Capital Requirement,SCR,900,False
EN,Solvency 2,Basic Solvency Capital Requirement,BSCR,900,False
