"Statutaire naam";"Handelsnaam";"Plaats";"Land"
"2PM Investment SICAV";"2PM Investment SICAV";"LUXEMBURG";"Luxemburg"
"88% MAX NAV";"88% MAX NAV";"COURBEVOIE";"Frankrijk"
"AB FCP I";"AB FCP I";"LUXEMBURG";"Luxemburg"
"AB FCP II";"AB FCP II";"LUXEMBURG";"Luxemburg"
"AB SICAV I";"AB SICAV I";"LUXEMBURG";"Luxemburg"
"Aberdeen Global II";"Aberdeen Global II";"LUXEMBURG";"Luxemburg"
"Aberdeen GlobalSpectrum Funds Plc";"Aberdeen GlobalSpectrum Funds Plc";"DUBLIN 1";"Ierland"
"Aberdeen Standard SICAV I";"Aberdeen Standard SICAV I";"LUXEMBURG";"Luxemburg"
"ABN AMRO Fund";"ABN AMRO Fund";"HOWALD-HESPERANGE";"Luxemburg"
"ABN AMRO Total Return Global Equities";"ABN AMRO Total Return Global Equities";"PARIJS";"Frankrijk"
"Absolute Insight Funds plc";"Absolute Insight Funds plc";"DUBLIN 2";"Ierland"
"AC Alternative";"AC Alternative";"LUXEMBURG";"Luxemburg"
"ACATIS - GANÉ VALUE EVENT FONDS UI";"ACATIS - GANÉ VALUE EVENT FONDS UI";"Frankfurt am Main";"Duitsland"
"ACATIS Aktien Global Fonds UI";"ACATIS Aktien Global Fonds UI";"Frankfurt am Main";"Duitsland"
"Acatis Investment KVG mbh";"Acatis Investment KVG mbh";"Frankfurt am Main";"Duitsland"
"Acatis lfK Value Renten UI";"Acatis lfK Value Renten UI";"Frankfurt am Main";"Duitsland"
"ACTIAM (L)";"ACTIAM (L)";"SENNINGERBERG";"Luxemburg"
"Adelphi Investment Funds plc";"Adelphi Investment Funds plc";"DUBLIN 2";"Ierland"
"Adequity Reference Monetaire";"Adequity Reference Monetaire";"PARIS LA DÉFENSE 7 CEDEX";"Frankrijk"
"Aegon Asset Management Europe ICAV";"Aegon Asset Management Europe ICAV";"DUBLIN 1";"Ierland"
"AEGON Investment Management B.V.";"Aegon Asset Management, Kames Capital, TKPI, TKP Investments, AEGON Investment Management B.V.";"'s-Gravenhage";"Nederland"
"Agressor";"Agressor";"PARIJS";"Frankrijk"
"Akbank TURKISH SICAV";"Akbank TURKISH SICAV";"BERTRANGE";"Luxemburg"
"Alessia";"Alessia";"Luxemburg";"Luxemburg"
"Alfred Berg Høyrente";"Alfred Berg Høyrente";"VIKA";"Noorwegen"
"Algebris UCITS Funds Plc";"Algebris UCITS Funds Plc";"Dublin 2";"Ierland"
"Alger SICAV";"Alger SICAV";"LUXEMBURG";"Luxemburg"
"Alias Investment";"Alias Investment";"LUXEMBURG";"Luxemburg"
"Alken Fund";"Alken Fund";"LUXEMBURG";"Luxemburg"
"AllianceBernstein (Luxembourg) S.A.R.L.";"AllianceBernstein (Luxembourg) S.A.R.L.";"LUXEMBURG";"Luxemburg"
"Allianz Dresdner Asset Management Luxembourg S.A.";"Allianz Dresdner Asset Management Luxembourg S.A.";"LUXEMBURG";"Luxemburg"
"Allianz Euro Oblig Court Terme ISR";"Allianz Euro Oblig Court Terme ISR";"PARIJS";"Frankrijk"
"Allianz European Pension Investments";"Allianz European Pension Investments";"SENNINGERBERG";"Luxemburg"
"Allianz Global Investors Fund SICAV";"Allianz Global Investors Fund SICAV";"SENNINGERBERG";"Luxemburg"
"Allianz Global Investors Fund V";"Allianz Global Investors Fund V";"DUBLIN 1";"Ierland"
"Allianz Global Investors Fund VII";"Allianz Global Investors Fund VII";"DUBLIN 2";"Ierland"
"Allianz Paraplufonds N.V.";"Allianz Paraplufonds N.V., Allianz Paraplufonds N.V.";"Rotterdam";"Nederland"
