"Statutaire naam";"Handelsnaam";"Plaats";"Land"
"1167 Capital LLP";"1167 Capital LLP";"London ";""
"1st Option Financial Consultants Ltd";"1st Option Financial Consultants Ltd";"LONDON";"Verenigd Koninkrijk"
"1Vermogensbeheer B.V.";"1Vermogensbeheer B.V.";"Bussum";"Nederland"
"2B Trading B.V.";"2B Trading B.V.";"Amsterdam";"Nederland"
"2CG Limited";"2CG Limited";"LONDON";"Verenigd Koninkrijk"
"2change4impact";"2change4impact";"Amstelveen";""
"2H Wealthcare LLP";"2H Wealthcare LLP";"BEACONSFIELD - BUCKINGHAMSHIRE";"Verenigd Koninkrijk"
"2R Capital Limited";"2R Capital Limited";"London";""
"323 Trading B.V.";"323 Trading B.V.";"Amsterdam";"Nederland"
"360 F-insight Limited";"360 F-insight Limited";"London";""
"360 Treasury Systems AG";"360 Treasury Systems AG";"FRANKFURT AM MAIN";"Duitsland"
"3D Global Financial Services Ltd";"3D Global Financial Services Ltd";"LIMASSOL";"Cyprus"
"3i Debt Management Investments Limited";"3i Debt Management Investments Limited";"LONDON";"Verenigd Koninkrijk"
"3I Europe Plc";"3I Europe Plc";"Amsterdam";"Nederland"
"3i Europe Plc";"3i Europe Plc";"LONDON";"Verenigd Koninkrijk"
"42 financial services s.r.o.";"42 financial services s.r.o.";"Praag";"Tsjechië"
"4BIO Ventures Management Ltd";"4BIO Ventures Management Ltd";"London";"Verenigd Koninkrijk"
"4Capital Vermogensbeheer B.V.";"4Capital Vermogensbeheer B.V., Care4Capital";"Wormer";"Nederland"
"54 Capital Ltd";"54 Capital Ltd";"London";""
"7Q Financial Services Ltd";"7Q Financial Services Ltd";"Nicosia";"Cyprus"
"9Street Capital Markets B.V.";"9Street Capital Markets B.V.";"Amsterdam";"Nederland"
"A I M Trading SA";"A I M Trading SA";"RIJMENAM";"België"
"A J Asset Management Limited";"A J Asset Management Limited";"";""
"A K Jensen Limited";"A K Jensen Limited";"LONDON";"Verenigd Koninkrijk"
"A.J.K. Wealth Management Limited";"A.J.K. Wealth Management Limited";"Larnaca";"Cyprus"
"A.N. Allnew Investments Ltd";"A.N. Allnew Investments Ltd";"Lanarca";""
"A.T. Equities Spain, A.V.B. S.A.";"A.T. Equities Spain, A.V.B. S.A.";"MADRID";"Spanje"
"A.T.I. Associates (Cyprus) Ltd";"A.T.I. Associates (Cyprus) Ltd";"PHAPHOS";"Cyprus"
"A/S Global Risk Management Ltd. Fondsmæglerselskab";"A/S Global Risk Management Ltd. Fondsmæglerselskab";"";""
"AA Advisers LLP";"AA Advisers LLP";"LONDON";"Verenigd Koninkrijk"
"AAA Trade Ltd";"AAA Trade Ltd";"Limassol";"Cyprus"
"Aaron Tawny Mortgages Limited";"Aaron Towny Mortgages Limited, Aaron Tawny Mortgages Limited";"KETTERING - NORTHAMPTONSHIRE";"Verenigd Koninkrijk"
"AB Svensk Exportkredit";"AB Svensk Exportkredit";"STOCKHOLM";"Zweden"
"Abacus Investment Solutions Ltd";"Abacus Investment Solutions Ltd";"BERKSHIRE";"Verenigd Koninkrijk"
"Abbey National Treasury Services Plc";"Abbey National Treasury Services Plc";"LONDON";"Verenigd Koninkrijk"
"Abbey Stockbrokers Limited";"Abbey Stockbrokers Limited";"";""
"Abbott Capital (Europe) Limited";"Abbott Capital (Europe) Limited";"London";""
"Aberdeen Asset Investments Limited";"Aberdeen Asset Investments Limited";"EDINBURGH ";"Verenigd Koninkrijk"
"Aberdeen Asset Managers Limited";"Aberdeen Asset Managers Limited";"Aberdeen";"Verenigd Koninkrijk"
"Aberdeen Standard Investments Ireland Limited";"Aberdeen Standard Investments Ireland Limited";"DUBLIN";""
"Aberfeld Asset Management B.V.";"Aberfeld Asset Management B.V., Aberfeld Vermogensbeheer";"Haarlem";"Nederland"
"ABG Sundal Collier AB";"ABG Sundal Collier AB";"STOCKHOLM";"Zweden"
"ABG Sundal Collier ASA";"ABG Sundal Collier ASA";"OSLO";"Noorwegen"
"ABN AMRO Asset Based Finance N.V.";"ABN AMRO Asset Based Finance N.V.";"Utrecht";"Nederland"
"ABN AMRO Bank N.V.";"ABN AMRO Bank N.V.";"Amsterdam";"Nederland"
"ABN AMRO Clearing Bank N.V.";"ABN AMRO Clearing Bank N.V., ABN AMRO Clearing Bank N.V.";"Amsterdam";"Nederland"
