"Statutaire naam";"Handelsnaam";"Statutaire zetel"
" Michal Tome? ";" Michal Tome?";""
" Michal Treml";" Michal Treml";""
" Pavel Ernest ";" Pavel Ernest";""
" Petr Vrzá? ";" Petr Vrzán";"Hradec Králové"
"""AKTUELL"" Raiffeisen Versicherungs-Maklerdienst Gesellschaft m.b.H.";"""AKTUELL"" Raiffeisen Versicherungs-Maklerdienst Gesellschaft m.b.H.";""
"""Arista Brokers"" OOD";"""Arista Brokers"" OOD";""
"""C4O""-Clinic 4 Oldies & Leasing Gesellschaft m.b.H.";"""C4O""-Clinic 4 Oldies & Leasing Gesellschaft m.b.H.";""
"""Easy Ins - First internet insurance broker"" EOOD";"""Easy Ins - First internet insurance broker"" EOOD";"SOFIA"
"""EuroShip"" Assekuradeur Verwaltungs- und Geschäftsführungs GmbH";"""EuroShip"" Assekuradeur Verwaltungs- und Geschäftsführungs GmbH";""
"""Jüsu spurtas"" UADBB";"""Jüsu spurtas"" UADBB";"Villnius"
"""Marins International"" EOOD";"""Marins International"" EOOD";"BULSTAT"
"""Mobiks BG"" OOD.";"""Mobiks BG"" OOD.";"SOFIA"
"""R A t h m A y r  K G""";"""R A t h m A y r  K G""";""
"& Schotsman Vermogensadvies";"& Schotsman Vermogensadvies";"Heemstede"
"&van Schagen financiële basisrust";"&van Schagen financiële basisrust";"Amsterdam"
"(PIM) Professionals in Maatwerk B.V.";"(PIM) Professionals in Maatwerk B.V., Financieel Helder";"NIEUWERKERK AAN DEN IJSSEL"
"@dviesburo PMProjects";"Blaauwendraad Financieel Advies, Blaauwendraad Makelaardij, @dviesburo PMProjects";"Scherpenzeel"
"@VICE Financiële Diensten";"@VICE Financiële Diensten";"Arnhem"
"?uro-Consult Blaumauer u. Gugrel OG";"?uro-Consult Blaumauer u. Gugrel OG";"St. Pölten"
"+Bas";"+Bas";"Maastricht"
"013 Bewindvoering & Budgetbeheer";"013 Bewindvoering & Budgetbeheer";"Goirle"
"030Hypotheken";"030Hypotheken, 030Hypotheken t.h.o.d.n. De Hypotheekshop";"Utrecht"
